V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,Unnamed: 41
Default Response Set,Anonymous,,,207.244.76.210,0,2016-02-29 12:03:08,2016-02-29 12:22:42,1,A10H1H4FU0S098,,,1,2,3,2,2,3,4,4,3,a coin ,drum stick  sound,A toast drinks,A car horn,phone ring,tearing paper,Water splashing,a zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,108.200.41.181,0,2016-02-29 12:20:09,2016-02-29 12:24:55,1,A3V55QSFT7MLRX,,,1,2,1,4,4,2,3,2,1,coins being dropped,mouth making a popping noise,pans being hit with something?,car horns,ringing,ripping paper,splashing,zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,67.253.157.3,0,2016-02-29 12:24:21,2016-02-29 12:28:59,1,AUOT6UI205EDN,,,1,2,3,1,1,2,1,3,3,Coins dropping,popping corks,glasses clanking,horns honking,phones ringing,Cutting/Ripping,Waves of water,zippers,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,99.122.60.15,0,2016-02-29 12:24:52,2016-02-29 12:29:32,1,A1ZOFPPZVYQ0Z8,,,1,2,3,1,4,3,1,2,3,coin dropping,pop,ice in a glass,horn,phone ringing,ripping paper,water splashing,zipper,,,,,,,,,6,plunk,,
Default Response Set,Anonymous,,,50.46.142.162,0,2016-02-29 12:28:27,2016-02-29 12:31:22,1,A2E3TO92MCQ9XU,,,1,2,2,1,1,2,3,3,1,coin hitting a dull surface,pop,glass hitting something,car honk,phone ringing,tearing paper,water splashing,zippers,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,74.215.65.206,0,2016-02-29 12:25:33,2016-02-29 12:32:23,1,A3CVX7GHF3B65Q,,,1,2,1,2,1,2,1,3,2,dropping a coin on a table,making a popping sound with one's cheek,striking a metal object,car horns,ring tones,ripping paper,sloshing water,zipping a zipper,1,1,1,1,1,1,1,1,6,piano,,
Default Response Set,Anonymous,,,24.17.55.250,0,2016-02-29 13:04:11,2016-02-29 13:06:57,1,A3LKPARORDKLWT,,,1,2,3,1,1,2,1,3,1,dropping coins,popping bottles,rolling bottles,car horns,ringing phones,ripping paper,water and a rock dropped in water,zippers,,,,,,,,,6,someone tapping something and someone saying piano,,
Default Response Set,Anonymous,,,71.11.74.248,0,2016-02-29 13:05:08,2016-02-29 13:10:07,1,A194HYD53ONJOY,,,1,3,3,4,4,2,1,3,1,Coins hiting a hard surface.,Cork being poped,clonking,Honking,Ringing,Taping being removed.,Water splashing,Zipper,,,,,,,,,6,Piano,,
Default Response Set,Anonymous,,,72.135.108.104,0,2016-02-29 13:07:45,2016-02-29 13:10:55,1,A1X5IZPCRLL0Z7,,,1,2,1,4,4,2,3,3,3,Coins dropping,Cap popping,Glass bottles,Honking,Phone Ringing,Paper tearing,Water splashing,Zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,71.121.240.127,0,2016-02-29 13:06:51,2016-02-29 13:13:23,1,A108C88FDYFHTA,,,1,2,3,2,4,2,1,3,3,coin,bottle pop,bottle,horn,phone ring,tear,water splash,zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,24.55.109.96,0,2016-02-29 13:11:10,2016-02-29 13:15:38,1,A1L8EDNM7HZZAX,,,1,2,4,2,1,2,2,4,3,Coin dropped closer to the floor,Opening Cork,Trinket,Distant horns,Analog Phone,n/a,n/a,n/a,,,,,,1,1,1,6,n/a,1,
Default Response Set,Anonymous,,,198.255.145.106,0,2016-02-29 13:10:34,2016-02-29 13:15:43,1,AI73488LTDOU0,,,1,2,3,2,2,2,2,4,1,coin drop,pop,clink,horn,phone ring,paper tear,splash,zipper,,,1,,,,,,6,piano,,
Default Response Set,Anonymous,,,73.230.81.157,0,2016-02-29 13:09:31,2016-02-29 13:16:48,1,ARR3UJTM2ZGK4,,,1,2,1,1,4,2,2,3,3,a coin dropping,popping or bottle opening,something being droppin in a metal jar,horn beeping,phone ringing,paper ripping,water splashing,a zipper,,,,,,,,,6,piano,,
Default Response Set,Anonymous,,,23.252.185.196,0,2016-02-29 13:10:09,2016-02-29 13:17:51,1,A25SL6XK7FJ0OD,,,1,2,3,2,4,2,1,3,4,coin being dropped,thumpop,glass jar with marble inside,car horn,phone ringing,paper tearing,water splashing,cat hiss,,,,,,,,1,6,tinging noise,,
Default Response Set,Anonymous,,,208.87.234.202,0,2016-02-29 13:24:27,2016-02-29 13:28:09,1,A1RDRK3QTM7U96,,,1,2,3,4,1,3,1,3,1,coin dropping,bottle popping,bottle,horn,phone ringing,paper tearing,water splashing,zipper,,,,,,,,1,6,piano,,
