subj_id,response_ix,response_id
A1LP4LE8JTSRW6,6,184
A1LP4LE8JTSRW6,7,185
A1LP4LE8JTSRW6,8,186
A1LP4LE8JTSRW6,9,187
A1PD0NGV29HX0W,0,1
A1PD0NGV29HX0W,1,2
A1PD0NGV29HX0W,2,3
A1PD0NGV29HX0W,3,4
A1PD0NGV29HX0W,4,5
A1PD0NGV29HX0W,5,6
A1PD0NGV29HX0W,6,7
A1PD0NGV29HX0W,7,8
A1PD0NGV29HX0W,8,9
A1PD0NGV29HX0W,9,10
A1QHX9C8CP6L3N,0,716
A1QHX9C8CP6L3N,1,717
A1QHX9C8CP6L3N,2,718
A1QHX9C8CP6L3N,3,719
A1QHX9C8CP6L3N,4,720
A1QHX9C8CP6L3N,5,721
A1QHX9C8CP6L3N,6,722
A1QHX9C8CP6L3N,7,723
A1QHX9C8CP6L3N,8,724
A1QHX9C8CP6L3N,9,725
A1SC2WCA7LPUXW,0,387
A1SC2WCA7LPUXW,1,388
A1SC2WCA7LPUXW,2,389
A1SC2WCA7LPUXW,3,390
A1SC2WCA7LPUXW,4,391
A1SC2WCA7LPUXW,5,392
A1SC2WCA7LPUXW,6,393
A1SC2WCA7LPUXW,7,394
A1SC2WCA7LPUXW,8,395
A1SC2WCA7LPUXW,9,396
A1U6O8A4KXRYRJ,0,662
A1U6O8A4KXRYRJ,1,663
A1U6O8A4KXRYRJ,2,664
A1U6O8A4KXRYRJ,3,666
A1U6O8A4KXRYRJ,4,668
A1U6O8A4KXRYRJ,5,670
A1U6O8A4KXRYRJ,6,671
A1U6O8A4KXRYRJ,7,673
A1U6O8A4KXRYRJ,8,675
A1U6O8A4KXRYRJ,9,676
A1VNCW1A19YUT0,0,749
A1VNCW1A19YUT0,1,750
A1VNCW1A19YUT0,2,751
A1VNCW1A19YUT0,3,752
A1VNCW1A19YUT0,4,753
A1VNCW1A19YUT0,5,754
A1VNCW1A19YUT0,6,756
A1VNCW1A19YUT0,7,758
A1VNCW1A19YUT0,8,760
A1VNCW1A19YUT0,9,762
A1VVR9MA1P9HWJ,0,784
A1VVR9MA1P9HWJ,1,785
A1VVR9MA1P9HWJ,2,786
A1VVR9MA1P9HWJ,3,787
A1VVR9MA1P9HWJ,4,788
A1VVR9MA1P9HWJ,5,789
A1VVR9MA1P9HWJ,6,790
A1VVR9MA1P9HWJ,7,791
A1VVR9MA1P9HWJ,8,792
A1VVR9MA1P9HWJ,9,793
A1XAKJRVDFK9R,0,374
A1XAKJRVDFK9R,1,375
A1XAKJRVDFK9R,2,376
A1XAKJRVDFK9R,3,377
A1XAKJRVDFK9R,4,378
A1XAKJRVDFK9R,5,379
A1XAKJRVDFK9R,6,381
A1XAKJRVDFK9R,7,382
A1XAKJRVDFK9R,8,383
A1XAKJRVDFK9R,9,384
A219VCQZADQ45W,0,802
A219VCQZADQ45W,0,812
A219VCQZADQ45W,1,803
A219VCQZADQ45W,1,813
A219VCQZADQ45W,2,804
A219VCQZADQ45W,2,814
A219VCQZADQ45W,3,805
A219VCQZADQ45W,3,815
A219VCQZADQ45W,4,806
A219VCQZADQ45W,4,816
A219VCQZADQ45W,5,807
A219VCQZADQ45W,5,817
A219VCQZADQ45W,6,808
A219VCQZADQ45W,6,818
A219VCQZADQ45W,7,809
A219VCQZADQ45W,7,819
A219VCQZADQ45W,8,810
A219VCQZADQ45W,8,820
A219VCQZADQ45W,9,811
A219VCQZADQ45W,9,821
A2HG1N3BVQO6I,0,162
A2HG1N3BVQO6I,1,164
A2HG1N3BVQO6I,2,166
A2HG1N3BVQO6I,3,167
A2HG1N3BVQO6I,4,168
A2HG1N3BVQO6I,5,169
A2HG1N3BVQO6I,6,170
A2HG1N3BVQO6I,7,171
A2HG1N3BVQO6I,8,172
A2HG1N3BVQO6I,9,173
A2KMNDXOBJPE8,0,423
A2KMNDXOBJPE8,1,424
A2KMNDXOBJPE8,2,425
A2KMNDXOBJPE8,3,426
A2KMNDXOBJPE8,4,427
A2KMNDXOBJPE8,5,428
A2KMNDXOBJPE8,6,429
A2KMNDXOBJPE8,7,430
A2KMNDXOBJPE8,8,431
A2KMNDXOBJPE8,9,432
A2OMINMO6NKNG3,0,622
A2OMINMO6NKNG3,1,623
A2OMINMO6NKNG3,2,624
A2OMINMO6NKNG3,3,625
A2OMINMO6NKNG3,4,627
A2OMINMO6NKNG3,5,629
A2OMINMO6NKNG3,6,630
A2OMINMO6NKNG3,7,632
A2OMINMO6NKNG3,8,633
A2OMINMO6NKNG3,9,634
A2PHHANCEOMA2U,0,881
A2PHHANCEOMA2U,1,882
A2PHHANCEOMA2U,2,883
A2PHHANCEOMA2U,3,884
A2PHHANCEOMA2U,4,885
A2PHHANCEOMA2U,5,886
A2PHHANCEOMA2U,6,887
A2PHHANCEOMA2U,7,888
A2PHHANCEOMA2U,8,889
A2PHHANCEOMA2U,9,890
A2ZE2IPHK152KA,0,638
A2ZE2IPHK152KA,1,639
A2ZE2IPHK152KA,2,640
A2ZE2IPHK152KA,3,641
A2ZE2IPHK152KA,4,642
A2ZE2IPHK152KA,5,643
A2ZE2IPHK152KA,6,644
A2ZE2IPHK152KA,7,645
A2ZE2IPHK152KA,8,646
A2ZE2IPHK152KA,9,647
A3132FK20GHM6L,0,95
A3132FK20GHM6L,1,96
A3132FK20GHM6L,2,97
A3132FK20GHM6L,3,98
A3132FK20GHM6L,4,99
A3132FK20GHM6L,5,100
A3132FK20GHM6L,6,101
A3132FK20GHM6L,7,103
A3132FK20GHM6L,8,104
A3132FK20GHM6L,9,105
A34LDFLSD0QAT2,0,455
A34LDFLSD0QAT2,1,456
A34LDFLSD0QAT2,2,457
A34LDFLSD0QAT2,3,458
A34LDFLSD0QAT2,4,459
A34LDFLSD0QAT2,5,460
A34LDFLSD0QAT2,6,461
A34LDFLSD0QAT2,7,462
A34LDFLSD0QAT2,8,463
A34LDFLSD0QAT2,9,464
A3CFQYYFWI3U7D,0,532
A3CFQYYFWI3U7D,0,532
A3CFQYYFWI3U7D,1,535
A3CFQYYFWI3U7D,1,535
A3CFQYYFWI3U7D,2,537
A3CFQYYFWI3U7D,2,537
A3CFQYYFWI3U7D,3,538
A3CFQYYFWI3U7D,3,538
A3CFQYYFWI3U7D,4,542
A3CFQYYFWI3U7D,4,542
A3CFQYYFWI3U7D,5,544
A3CFQYYFWI3U7D,5,544
A3CFQYYFWI3U7D,6,546
A3CFQYYFWI3U7D,6,546
A3CFQYYFWI3U7D,7,574
A3CFQYYFWI3U7D,7,574
A3CFQYYFWI3U7D,8,577
A3CFQYYFWI3U7D,8,577
A3CFQYYFWI3U7D,9,579
A3CFQYYFWI3U7D,9,579
A3EBUBRYCKB6AF,0,19
A3EBUBRYCKB6AF,1,20
A3EBUBRYCKB6AF,2,21
A3EBUBRYCKB6AF,3,22
A3EBUBRYCKB6AF,4,24
A3EBUBRYCKB6AF,5,25
A3EBUBRYCKB6AF,6,27
A3EBUBRYCKB6AF,7,29
A3EBUBRYCKB6AF,8,31
A3EBUBRYCKB6AF,9,34
A3N8MC9JZWS4WX,0,114
A3N8MC9JZWS4WX,1,117
A3N8MC9JZWS4WX,2,118
A3N8MC9JZWS4WX,3,120
A3N8MC9JZWS4WX,4,121
A3N8MC9JZWS4WX,5,122
A3N8MC9JZWS4WX,6,123
A3N8MC9JZWS4WX,7,126
A3N8MC9JZWS4WX,8,130
A3N8MC9JZWS4WX,9,134
A3TQNW1OKQ2G6B,0,774
A3TQNW1OKQ2G6B,1,775
A3TQNW1OKQ2G6B,2,776
A3TQNW1OKQ2G6B,3,777
A3TQNW1OKQ2G6B,4,778
A3TQNW1OKQ2G6B,5,779
A3TQNW1OKQ2G6B,6,780
A3TQNW1OKQ2G6B,7,781
A3TQNW1OKQ2G6B,8,782
A3TQNW1OKQ2G6B,9,783
A3UV55HC87DO9C,0,271
A3UV55HC87DO9C,1,272
A3UV55HC87DO9C,2,273
A3UV55HC87DO9C,3,274
A3UV55HC87DO9C,4,275
A3UV55HC87DO9C,5,276
A3UV55HC87DO9C,6,277
A3UV55HC87DO9C,7,278
A3UV55HC87DO9C,8,279
A3UV55HC87DO9C,9,280
A5ERQ96L55H6V,0,102
A5ERQ96L55H6V,0,143
A5ERQ96L55H6V,1,106
A5ERQ96L55H6V,1,144
A5ERQ96L55H6V,2,107
A5ERQ96L55H6V,2,146
A5ERQ96L55H6V,3,109
A5ERQ96L55H6V,3,147
A5ERQ96L55H6V,4,110
A5ERQ96L55H6V,4,149
A5ERQ96L55H6V,5,111
A5ERQ96L55H6V,5,150
A5ERQ96L55H6V,6,112
A5ERQ96L55H6V,6,151
A5ERQ96L55H6V,7,113
A5ERQ96L55H6V,7,152
A5ERQ96L55H6V,8,115
A5ERQ96L55H6V,8,153
A5ERQ96L55H6V,9,116
A5ERQ96L55H6V,9,154
A5IELMRC1OIQO,0,250
A5IELMRC1OIQO,0,260
A5IELMRC1OIQO,0,220
A5IELMRC1OIQO,0,230
A5IELMRC1OIQO,1,251
A5IELMRC1OIQO,1,261
A5IELMRC1OIQO,1,221
A5IELMRC1OIQO,1,231
A5IELMRC1OIQO,2,252
A5IELMRC1OIQO,2,262
A5IELMRC1OIQO,2,222
A5IELMRC1OIQO,2,232
A5IELMRC1OIQO,3,253
A5IELMRC1OIQO,3,263
A5IELMRC1OIQO,3,223
A5IELMRC1OIQO,3,233
A5IELMRC1OIQO,4,254
A5IELMRC1OIQO,4,264
A5IELMRC1OIQO,4,224
A5IELMRC1OIQO,4,234
A5IELMRC1OIQO,5,255
A5IELMRC1OIQO,5,265
A5IELMRC1OIQO,5,225
A5IELMRC1OIQO,5,235
A5IELMRC1OIQO,6,256
A5IELMRC1OIQO,6,266
A5IELMRC1OIQO,6,226
A5IELMRC1OIQO,6,236
A5IELMRC1OIQO,7,257
A5IELMRC1OIQO,7,267
A5IELMRC1OIQO,7,227
A5IELMRC1OIQO,7,237
A5IELMRC1OIQO,8,258
A5IELMRC1OIQO,8,268
A5IELMRC1OIQO,8,228
A5IELMRC1OIQO,8,238
A5IELMRC1OIQO,9,259
A5IELMRC1OIQO,9,269
A5IELMRC1OIQO,9,229
A5IELMRC1OIQO,9,239
A62LZWGKLMBT2,0,11
A62LZWGKLMBT2,1,13
A62LZWGKLMBT2,2,15
A62LZWGKLMBT2,3,18
A62LZWGKLMBT2,4,23
A62LZWGKLMBT2,5,26
A62LZWGKLMBT2,6,35
A62LZWGKLMBT2,7,41
A62LZWGKLMBT2,8,47
A62LZWGKLMBT2,9,53
A6FMGGN74ZJ7C,0,434
A6FMGGN74ZJ7C,1,435
A6FMGGN74ZJ7C,2,436
A6FMGGN74ZJ7C,3,437
A6FMGGN74ZJ7C,4,438
A6FMGGN74ZJ7C,5,439
A6FMGGN74ZJ7C,6,440
A6FMGGN74ZJ7C,7,441
A6FMGGN74ZJ7C,8,442
A6FMGGN74ZJ7C,9,443
A7YDLXXU4HF5K,0,823
A7YDLXXU4HF5K,1,824
A7YDLXXU4HF5K,2,825
A7YDLXXU4HF5K,3,826
A7YDLXXU4HF5K,4,827
A7YDLXXU4HF5K,5,828
A7YDLXXU4HF5K,6,829
A7YDLXXU4HF5K,7,830
A7YDLXXU4HF5K,8,831
A7YDLXXU4HF5K,9,832
A8KXFPAZ57WY5,0,358
A8KXFPAZ57WY5,1,359
A8KXFPAZ57WY5,2,360
A8KXFPAZ57WY5,3,361
A8KXFPAZ57WY5,4,362
A8KXFPAZ57WY5,5,363
A8KXFPAZ57WY5,6,364
A8KXFPAZ57WY5,7,365
A8KXFPAZ57WY5,8,366
A8KXFPAZ57WY5,9,367
A9754EPKP763V,0,843
A9754EPKP763V,1,845
A9754EPKP763V,2,847
A9754EPKP763V,3,850
A9754EPKP763V,4,853
A9754EPKP763V,5,857
A9754EPKP763V,6,859
A9754EPKP763V,7,860
A9754EPKP763V,8,861
A9754EPKP763V,9,862
AC0BS4C41ND2D,0,444
AC0BS4C41ND2D,1,445
AC0BS4C41ND2D,2,446
AC0BS4C41ND2D,3,447
AC0BS4C41ND2D,4,448
AC0BS4C41ND2D,5,449
AC0BS4C41ND2D,6,450
AC0BS4C41ND2D,7,451
AC0BS4C41ND2D,8,452
AC0BS4C41ND2D,9,453
AFIFVNL3CREJN,0,613
AFIFVNL3CREJN,1,616
AFIFVNL3CREJN,2,617
AFIFVNL3CREJN,3,618
AFIFVNL3CREJN,4,619
AFIFVNL3CREJN,5,620
AFIFVNL3CREJN,6,621
AFIFVNL3CREJN,7,626
AFIFVNL3CREJN,8,628
AFIFVNL3CREJN,9,631
AMYLEM12JBY0S,0,726
AMYLEM12JBY0S,1,727
AMYLEM12JBY0S,2,728
AMYLEM12JBY0S,3,729
AMYLEM12JBY0S,4,730
AMYLEM12JBY0S,5,731
AMYLEM12JBY0S,6,732
AMYLEM12JBY0S,7,733
AMYLEM12JBY0S,8,734
AMYLEM12JBY0S,9,735
APIVWIKALPR2O,0,398
APIVWIKALPR2O,1,891
APIVWIKALPR2O,2,892
APIVWIKALPR2O,3,893
APIVWIKALPR2O,4,894
APIVWIKALPR2O,5,895
APIVWIKALPR2O,6,896
APIVWIKALPR2O,7,897
APIVWIKALPR2O,8,898
APIVWIKALPR2O,9,899
AQ8ZFQTBE4622,0,301
AQ8ZFQTBE4622,0,331
AQ8ZFQTBE4622,0,321
AQ8ZFQTBE4622,0,311
AQ8ZFQTBE4622,1,302
AQ8ZFQTBE4622,1,332
AQ8ZFQTBE4622,1,322
AQ8ZFQTBE4622,1,312
AQ8ZFQTBE4622,2,303
AQ8ZFQTBE4622,2,333
AQ8ZFQTBE4622,2,323
AQ8ZFQTBE4622,2,313
AQ8ZFQTBE4622,3,304
AQ8ZFQTBE4622,3,334
AQ8ZFQTBE4622,3,324
AQ8ZFQTBE4622,3,314
AQ8ZFQTBE4622,4,305
AQ8ZFQTBE4622,4,335
AQ8ZFQTBE4622,4,325
AQ8ZFQTBE4622,4,315
AQ8ZFQTBE4622,5,306
AQ8ZFQTBE4622,5,336
AQ8ZFQTBE4622,5,326
AQ8ZFQTBE4622,5,316
AQ8ZFQTBE4622,6,307
AQ8ZFQTBE4622,6,337
AQ8ZFQTBE4622,6,327
AQ8ZFQTBE4622,6,317
AQ8ZFQTBE4622,7,308
AQ8ZFQTBE4622,7,338
AQ8ZFQTBE4622,7,328
AQ8ZFQTBE4622,7,318
AQ8ZFQTBE4622,8,309
AQ8ZFQTBE4622,8,339
AQ8ZFQTBE4622,8,329
AQ8ZFQTBE4622,8,319
AQ8ZFQTBE4622,9,310
AQ8ZFQTBE4622,9,340
AQ8ZFQTBE4622,9,330321
AQ8ZFQTBE4622,9,320
AQ8ZFQTBE4622,10,322
AQ8ZFQTBE4622,11,323
AQ8ZFQTBE4622,12,324
AQ8ZFQTBE4622,13,325
AQ8ZFQTBE4622,14,326
AQ8ZFQTBE4622,15,327
AQ8ZFQTBE4622,16,328
AQ8ZFQTBE4622,17,329
AQ8ZFQTBE4622,18,330
AS0Q47RFF7G5S,0,554
AS0Q47RFF7G5S,1,558
AS0Q47RFF7G5S,2,559
AS0Q47RFF7G5S,3,561
AS0Q47RFF7G5S,4,563
AS0Q47RFF7G5S,5,565
AS0Q47RFF7G5S,6,566
AS0Q47RFF7G5S,7,567
AS0Q47RFF7G5S,8,569
AS0Q47RFF7G5S,9,570
ATOAZIAM04AXA,0,108
ATOAZIAM04AXA,1,119
ATOAZIAM04AXA,2,124
ATOAZIAM04AXA,3,127
ATOAZIAM04AXA,4,133
ATOAZIAM04AXA,5,140
ATOAZIAM04AXA,6,141
ATOAZIAM04AXA,7,142
ATOAZIAM04AXA,8,145
ATOAZIAM04AXA,9,148
AYUREWGFQG5JV,0,590
AYUREWGFQG5JV,1,592
AYUREWGFQG5JV,2,594
AYUREWGFQG5JV,3,597
AYUREWGFQG5JV,4,598
AYUREWGFQG5JV,5,599
AYUREWGFQG5JV,6,600
AYUREWGFQG5JV,7,601
AYUREWGFQG5JV,8,603
AYUREWGFQG5JV,9,604
AZPK9A81SG0WX,0,705
AZPK9A81SG0WX,1,706
AZPK9A81SG0WX,2,707
AZPK9A81SG0WX,3,708
AZPK9A81SG0WX,4,709
AZPK9A81SG0WX,5,710
AZPK9A81SG0WX,6,711
AZPK9A81SG0WX,7,712
AZPK9A81SG0WX,8,713
AZPK9A81SG0WX,9,714
