"chain_name","seed_id","message_id","text","n","is_english","generation","order"
"water",43,50,"bhszh bhszh bhszh bhszh",1,0,1,2
"water",43,50,"cheeop cheeop cheeop",1,0,1,3
"water",43,50,"fshfshfsh",1,0,1,4
"water",43,224,"chhuueeuuchehchue",1,0,1,2
"water",43,224,"chwoochwooochwooo",1,0,1,3
"water",43,224,"hrrewwwreerewww",1,0,1,4
"water",44,92,"bloomp",1,0,1,1
"water",44,92,"douo",1,0,1,2
"water",44,92,"hoosh",1,0,1,3
"water",44,92,"huurr",1,0,1,4
"water",44,153,"bhuh",1,0,1,2
"water",44,153,"bihihngnah",1,0,1,3
"water",44,153,"blilidblu",1,0,1,4
"water",44,214,"atoadelchoo",1,0,1,1
"water",44,214,"atuatil",1,0,1,2
"water",44,214,"batompt",1,0,1,3
"water",44,214,"bichuzup",1,0,1,4
"water",44,220,"aeoyesh",1,0,1,1
"water",44,220,"ashtoosh",1,0,1,2
"water",44,220,"ashuwe",1,0,1,3
"water",44,220,"ashwoosh",1,0,1,4
"water",45,52,"awakawush",1,0,1,2
"water",45,52,"awakshuashu",1,0,1,3
"water",45,52,"awwah-chowah",1,0,1,4
"zipper",46,55,"chreeph",1,0,1,1
"zipper",46,55,"crowup",1,0,1,2
"zipper",46,55,"efof",1,0,1,3
"zipper",46,55,"errakspugh",1,0,1,4
"zipper",46,60,"dsszzshd",1,0,1,1
"zipper",46,60,"dzesh",1,0,1,2
"zipper",46,60,"dzsht",1,0,1,3
"zipper",46,60,"eeee",1,0,1,4
"zipper",46,90,"apeing",1,0,1,1
"zipper",46,90,"auuhaa",1,0,1,2
"zipper",46,90,"euah",1,0,1,3
"zipper",46,90,"euuh",1,0,1,4
"zipper",47,53,"choo",1,0,1,2
"zipper",47,53,"dright",1,0,1,3
"zipper",47,53,"heerouf",1,0,1,4
"zipper",47,113,"schoop",1,0,1,2
"zipper",47,113,"soop",1,0,1,3
"zipper",47,113,"sssoup",1,0,1,4
"zipper",47,117,"irii",1,0,1,1
"zipper",47,117,"mooeep",1,0,1,2
"zipper",47,117,"puherreh",1,0,1,3
"zipper",47,117,"reep",1,0,1,4
"zipper",47,139,"greero",1,0,1,1
"zipper",47,139,"mariurh",1,0,1,2
"zipper",47,139,"mreuw",1,0,1,3
"zipper",47,139,"raer",1,0,1,4
"zipper",48,70,"arrgt",1,0,1,1
"zipper",48,70,"briww",1,0,1,2
"zipper",48,70,"broo",1,0,1,3
"zipper",48,70,"erufh",1,0,1,4
"zipper",48,103,"eerrjitzit",1,0,1,3
"zipper",48,103,"ffttt",1,0,1,4
"zipper",49,65,"eerip",1,0,1,2
"zipper",49,65,"errrah",1,0,1,3
"zipper",49,65,"grrir",1,0,1,4
"zipper",49,94,"beehzuhp",1,0,1,4
"zipper",49,118,"anh",1,0,1,1
"zipper",49,118,"ghuen",1,0,1,2
"zipper",49,118,"gloongoowahh",1,0,1,3
"zipper",49,118,"gwak",1,0,1,4
"zipper",49,132,"ashair",1,0,1,1
"zipper",49,132,"evrrrrr",1,0,1,2
"zipper",49,132,"pptohhee",1,0,1,3
"zipper",49,132,"rrgh",1,0,1,4
